,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
5619,"חניון ""מרכז עזריאלי""","חניון ששטחו 118015 מ""ר ל- 3085 כלי רכב (ב-4 מפלסים תת קרקעים).(מהם 175 חניות לנכים )",רכב ותחבורה,בגין מנחם 132 ,"חניון ששטחו 118015 מ""ר ל- 3085 כלי רכב (ב-4 מפלסים תת קרקעים).(מהם 175 חניות לנכים ),","(32.9606, 35.5132328)"
5620,ליים נטוורק,אחסנת קורקנטינים,מסחר ושונות,בן צבי 84 ,"אחסנת קורקנטינים,","(32.041932, 34.771818)"
5622,פנטזיה 91,מספרה.,"בריאות, רוקחות, קוסמטיקה",חנוך 32 ,"מספרה.,","(32.051844, 34.789115)"
5623,הובלה ברכב מס' 2606616,הובלה מוצרי בשר מעובדים ברכב מס'-2606616,מזון,אילת 9 ,"הובלה מוצרי בשר מעובדים ברכב מס'-2606616,","(32.05716, 34.761127)"
5624,טהבוב לייצור קרטון,ייצור נייר-- קרטון,"תעשיה, כימיה, מחצב",בן צבי 84 ,"ייצור נייר-- קרטון,","(32.041932, 34.771818)"
5625,רונית חלפים,מכירה ואחסנת חלקי חילוף לרכב (משומשים וחדשים).,רכב ותחבורה,"ריב""ל 6 ","מכירה ואחסנת חלקי חילוף לרכב (משומשים וחדשים).,","(32.062662, 34.781711)"
5626,"ד.ד שף הבית בע""מ","בית אוכל פנימי בבית ספר ""אליאנס"" להכנה והגשת שניצלים, חזה עוף והמבורגר מוכן, סלטים מירקות טריים, אורז ותפוחי אדמה, כריכים וטוסטים מגבינות, פסטרמות, נקניקים ונקניקיות, סלטים מוכנים, חימום דברי מאפה, מיצים טבעיים, תה וקפה.",מזון,רדינג 26 ,"בית אוכל פנימי בבית ספר ""אליאנס"" להכנה והגשת שניצלים, חזה עוף והמבורגר מוכן, סלטים מירקות טריים, אורז ותפוחי אדמה, כריכים וטוסטים מגבינות, פסטרמות, נקניקים ונקניקיות, סלטים מוכנים, חימום דברי מאפה, מיצים טבעיים, תה וקפה.,","(51.4335827, -0.9038590000000042)"
5627,קפה הלוי,בית קפה  - הגשת מוצרי בשר מוכנים לאכילה ללא טיפול נוסף,מזון,יהודה הלוי 33 ,"בית קפה  - הגשת מוצרי בשר מוכנים לאכילה ללא טיפול נוסף,אפיית דברי מאפה מבצק מוכן ומוקפא  .,","(32.061775, 34.771417)"
5629,סנדבי.ץ' ארד הרצל,"מפעל להכנת כריכים, מנות קרות חלבי, מנות טבעול-ארוזים במגשיות קל-קר ואלומיניום.",מזון,קבוץ גלויות 73 ,"מפעל להכנת כריכים, מנות קרות חלבי, מנות טבעול-ארוזים במגשיות קל-קר ואלומיניום.,","(32.8124133, 35.0037193)"
5631,ניצת הדובדבן,"4.7 ב - מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

",מזון,רוזן פנחס 72 ,"מרכול - מקום לממכר מזון ומוצרי צריכה לשימוש אישי או ביתי, שאין בו טיפול במזון לרבות משלוח מזון

,","(31.2618198, 34.7645571)"
5632,נעלי שרי לי,דברי הנעלה-יצורם. (ללא ייצור סוליות),"תעשיה, כימיה, מחצב",בן צבי 84 ,"דברי הנעלה-יצורם. (ללא ייצור סוליות),","(32.041932, 34.771818)"
5633,דייביס ואודי,מספרה ובית ספר ללימוד תסרוקות .,"בריאות, רוקחות, קוסמטיקה",דיזנגוף 255 ,"מספרה ובית ספר ללימוד תסרוקות .,","(32.093871, 34.776488)"
5636,"א.ד.ב דולנסקי בע""מ",יצור בדים (אריגת/סריגה),"תעשיה, כימיה, מחצב",בן צבי 84 ,"יצור בדים (אריגת/סריגה),","(32.041932, 34.771818)"
5637,"סול תורג'מן בע""מ","מקום המיועד לאחסנה ששטחו 50 מ""ר ומעלה בין מקורה   ובין שאינו מקורה - לרהיטים",מסחר ושונות,בן צבי 84 ,"מקום המיועד לאחסנה ששטחו 50 מ""ר ומעלה בין מקורה   ובין שאינו מקורה - לרהיטים,","(32.041932, 34.771818)"
5638,דלידה,מסעדה הכנת דגים מעובדים-לרבות צריכת משקאות משכרים במקום.,מזון,זבולון 7 ,"מסעדה הכנת דגים מעובדים-לרבות צריכת משקאות משכרים במקום.,","(32.060083, 34.773034)"
5639,מוסך מיכון,מוסך למכונאות רכב כללית.,רכב ותחבורה,חומה ומגדל 28 ,"מוסך למכונאות רכב כללית.,מוסך לחשמלאות רכב.,","(32.063754, 34.786823)"
5640,פיקנסין,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,בגין מנחם 132 ,"מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו,הכנת מזון למכירתו לצריכה מחוץ למקום הכנתו, לרבות משלוח מזון ולמעט הסעדה כמשמעותה בסעיף 4.6 ה' ללא ישיבה במקום
,","(32.9606, 35.5132328)"
5641,המקום של יגאל,"מקום אחר למכירת  מזון באריזות סגורות מכירת ממתקים, שלגונים באריזות סגורות, עוגות ועוגיות ארוזות ומכירת משקאות שלא לצריכת במקום.",מזון,לוינסקי 108 ,"מקום אחר למכירת  מזון באריזות סגורות מכירת ממתקים, שלגונים באריזות סגורות, עוגות ועוגיות ארוזות ומכירת משקאות שלא לצריכת במקום.,","(32.056456, 34.779504)"
5642,בורגר ראנץ',מסעדה מצומצמת (ברגר קינג),מזון,רוזן פנחס 72 ,"מסעדה מצומצמת (ברגר קינג),","(31.2618198, 34.7645571)"
5643,מוסך  עזר,מוסך לפחחות וצביעת רכב,רכב ותחבורה,שארית ישראל 15 ,"מוסך לפחחות וצביעת רכב,מוסך לזגגות רכב.,","(32.052938, 34.761456)"
5644,רמי שלק,עיבוד מתכת,"תעשיה, כימיה, מחצב",פוריה 18 ,"עיבוד מתכת,","(32.055105, 34.762444)"
5645,רואי שוקולד,"בית אוכל להכנה והגשת תה וקפה.הגשת שוקולד ומכירת עוגות ממקור מאושר, לצריכה במקום.הגשה ומכירת גלידה לרבות צריכת משקאות משכרים במקום.",מזון,יד חרוצים 15 ,"בית אוכל להכנה והגשת תה וקפה.הגשת שוקולד ומכירת עוגות ממקור מאושר, לצריכה במקום.הגשה ומכירת גלידה לרבות צריכת משקאות משכרים במקום.,","(32.061892, 34.783829)"
5647,קניון מרכז עזריאלי,"קניון -ניהולו ( שטח כל הקניון- 43,338 מ""ר, שטח משרדי חב' הניהול 185 מ""ר, שטח השטחים הציבוריים 14,551 מ""ר).",מסחר ושונות,בגין מנחם 132 ,"קניון -ניהולו ( שטח כל הקניון- 43,338 מ""ר, שטח משרדי חב' הניהול 185 מ""ר, שטח השטחים הציבוריים 14,551 מ""ר).,","(32.9606, 35.5132328)"
5648,מקדונלס,מסעדה מצומצמת (מקדונלס).,מזון,אינשטיין 40 ,"מסעדה מצומצמת (מקדונלס).,","(32.11215, 34.79577842288437)"
5649,דוסה,בית קפה לרבות צריכת משקאות משכרים במקום,מזון,בן יהודה 188 ,"בית קפה לרבות צריכת משקאות משכרים במקום,","(32.088618, 34.7737097)"
5651,שישו' - SHISHO,"4.2ב - בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.",מזון,קרליבך 18 ,"בית אוכל להגשת תה וקפה הכנה ומכירת כריכים וסלטים מירקות טריים.,","(32.070787, 34.782512)"
5652, ,מסעדה ואפיית פיצה  ולחם מבצק מוכן ומוקפא  והגשה בכלים חד פעמיים (ללא הכנת דגים).- לרבות צריכת משקאות משכרים במקום,מזון,בגין מנחם 132 ,"מסעדה (כולל דגים מנוקים מראש ממקור מאושר, ללא אפיה )הגשה בכלים חד פעמיים .לרבות צריכת משקאות משכרים במקום.,","(32.9606, 35.5132328)"
5653,אי אם פי אם,סופרמרקט (מכולת+ מכירת מצרכי מזון קפואים).,מזון,ויינשל 6 ,"סופרמרקט (מכולת+ מכירת מצרכי מזון קפואים).,מכירת פירות וירקות טריים.,אפיית דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,מכירת תה וקפה ללא ישיבה במקום - TAKE AWAY בכוסות חד פעמיים.,","(32.117885, 34.824296)"
5654,גוצ'ה,מסעדה-הכנה והגשת  פירות ים ודגים(ללא אפיה)-לרבות צריכת משקאות משכרים במקום,מזון,אבן גבירול 14 ,"מסעדה-הכנה והגשת  פירות ים ודגים(ללא אפיה)-לרבות צריכת משקאות משכרים במקום,","(32.0725779, 34.7820436)"
5655,קופי טיים,מקום אחר למכירת מזון באריזות סגורות סיגריות פיצוחים משקאות קלים ומשקאות משכרים שלא לצריכה במקום כריכים באריזות סגורות ממקור מאושר בחוק קפה ותה בכוסות חד פעמי.,מזון,לוינסקי 108 ,"מקום אחר למכירת מזון באריזות סגורות סיגריות פיצוחים משקאות קלים ומשקאות משכרים שלא לצריכה במקום כריכים באריזות סגורות ממקור מאושר בחוק קפה ותה בכוסות חד פעמי.,","(32.056456, 34.779504)"
5656,בר רומני אדי,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.לרבות משקאות משכרים לצריכה במקום.",מזון,ברזילי 14 ,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים.לרבות משקאות משכרים לצריכה במקום.,","(-15.8135134, -47.87901959961802)"
5657,מוסך שאפט,מוסך למכונאות רכב כללית,רכב ותחבורה,חומה ומגדל 22 ,"מוסך למכונאות רכב כללית,","(32.0199269, 34.774358724389444)"
5659,הזלמניה,"בית אוכל אחר להכנת והגשת שניצל ,חזה עוף ,פרגיות ,צ'יפס כולל תוספות - אורז תפו""א והכנת סלטים (בכלים חד פעמיים)",מזון,חומה ומגדל 16 ,"בית אוכל אחר להכנת והגשת שניצל ,חזה עוף ,פרגיות ,צ'יפס כולל תוספות - אורז תפו""א והכנת סלטים (בכלים חד פעמיים),","(32.062634, 34.786281)"
5660,חניון הילטון 2,"חניון בנוי ששטחו 7033 מ""ר ל-277 כלי רכב.( זמני בשימוש החניון המסחרי שטח 3,955 מ""ר ל - 155 כלי רכב).(מהם 15 לנכים )",רכב ותחבורה,הירקון 241 ,"חניון בנוי ששטחו 7033 מ""ר ל-277 כלי רכב.( זמני בשימוש החניון המסחרי שטח 3,955 מ""ר ל - 155 כלי רכב).(מהם 15 לנכים ),","(32.090013, 34.769878)"
5661,עתידים חב' לתעשיות עתירות,"8.6 ז - חניון מקורה או תת קרקעי, ששטחו מעל 500 מ""ר שהוא בתשלום או  פתוח לקהל הרחב, למעט חניון המשמש את עובדי או דיירי הבניין בלבד.",רכב ותחבורה,2184 4 ,"חניון בנוי ששטחו 23130 מ""ר ל-942 כלי רכב.,","(None, None)"
5662,וונג,"בית אוכל - מסעדה (בשר בלבד) - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות הגשת משקאות משכרים לצריכה במקום.
",מזון,רוטשילד 15 ,"מסעדה-לרבות צריכת משקאות משכרים במקום,","(31.9640927, 34.8051757)"
5663,חניון מגדל הסחר הבינלאומי,"חניון בנוי ששטחו 13399 מ""ר(שטח מקורה 12199 מ""ר ושטח פתוח 1200 מ""ר)ל-350 כלי רכב. (מהם 18 לנכים ).",רכב ותחבורה,שנקר אריה 3 ,"חניון בנוי ששטחו 13399 מ""ר(שטח מקורה 12199 מ""ר ושטח פתוח 1200 מ""ר)ל-350 כלי רכב. (מהם 18 לנכים ).,","(32.158885, 34.8090779)"
5664,"אייקון פיטנס ישראל בע""מ","7.5 - מכון כושר ששטחו גדול מ- 800 מ""ר שאינו אחד מאלה:
א. מכון כושר מוחזק ומופעל בידי אגודת ספורט, ארגון ספורט, התאחדות או איגוד, כהגדרתם בחוק הספורט, התשמ""ח 1988, המשמש את הספורטאיהם בלבד.ב. מכון כוש",עינוג ציבורי כללי,אחד העם 9 ,"מכון כושר.,","(31.7723779, 35.2182892)"
5665,היכל היופי והבריאות,מכון יופי                          .,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 195 ,"מכון יופי                          .,פדיקור ומניקור.,","(32.094901, 34.783396)"
5666,"ד""ר קלין",מכבסה.,מסחר ושונות,טאגור רבינדרנת 38 ,"מכבסה.,","(None, None)"
5667,כרמליס בייגל,"בית אוכל להכנת ומכירת כריכים מסלטים מוכנים ממקור מאושר, תה קפה ומשקאות קלים בכלים חד פעמיים.הגשת דברי מאפה מסופקים ממקור מאושר .",מזון,בגין מנחם 132 ,"בית אוכל להכנת ומכירת כריכים מסלטים מוכנים ממקור מאושר, תה קפה ומשקאות קלים בכלים חד פעמיים.הגשת דברי מאפה מסופקים ממקור מאושר .,","(32.9606, 35.5132328)"
5668,היי סייד אופנועים,8.9 א - מוסך לתיקון אופנועים.,רכב ותחבורה,קבוץ גלויות 75 ,"מוסך לתיקון אופנועים.,מכירת  אופנועיים.
,","(32.8124133, 35.0037193)"
5669,"האנגר 11 בע""מ","אולם שמחות (עריכת קבלת פנים עם דוכני מזון וחופה     ברחבה לפני הכניסה לאולם.ללא מוסיקה לרקודים. לא יתקיימו ארועים ושמחות מחוץ לאולם הסגור), תפוסת הקהל 1487 איש.",עינוג ציבורי כללי,ליפקין שחק- שטח הנמל 11 ,"אולם שמחות (עריכת קבלת פנים עם דוכני מזון וחופה     ברחבה לפני הכניסה לאולם.ללא מוסיקה לרקודים. לא יתקיימו ארועים ושמחות מחוץ לאולם הסגור), תפוסת הקהל 1487 איש.,מתקני שעשועים.,דיסקוטק.עד 2590 איש,מקום לעריכת מופעים וירידים עד 2590 איש.,משקאות משכרים -פאב, בר, מסבאה וכל עסק שעיקר פעילותו הגשתם לצורך צריכה במקום ההגשה.
,בית אוכל להכנת סלט ירוק,צליית בשר וקבבים טיגון פסטלים סיגריות וצ'יפס-לרבות צריכת משקאות משכרים במקום.,","(None, None)"
5670,חניון שמי בר,"חניון במגרש, מרתף ושלושה  מפלסים  ששטחו 25725 מ""ר ל-860 כלי רכב.(מהם 18 מקומות לנכים ).",רכב ותחבורה,בוקסנבאום יוסף 1 ,"חניון במגרש, מרתף ושלושה  מפלסים  ששטחו 25725 מ""ר ל-860 כלי רכב.(מהם 18 מקומות לנכים ).,","(None, None)"
5671,שוקו לולו,"מסעדה כולל דגים, ללא אפיה בשר מתקבל קפוא ומעובד מראש לרבות משכרים הגשתם לצורך צריכה במקום ההגשה",מזון,ויטל חיים 3 ,"מסעדה כולל דגים, ללא אפיה לרבות משקאות משכרים הגשתם לצורך צריכה במקום ההגשה,","(32.0569198, 34.7679294)"
5672,בי דראגסטורס,"1.1 - בית מרקחת  (למעט בקופת חולים ולמעט בבית חולים) 1.1
","בריאות, רוקחות, קוסמטיקה",בן יהודה 75 ,"בית מרקחת,","(32.080988, 34.770254)"
5673,מקדונלד'ס,מסעדה - מקדונלד'ס.,מזון,בגין מנחם 132 ,"מסעדה - מקדונלד'ס.,","(32.9606, 35.5132328)"
5674,אגסי גריל בר,"מסעדה(ללא הכנת דגים, ללא אפיה).",מזון,בית עובד 8 ,"מסעדה(ללא הכנת דגים, ללא אפיה).,","(32.064119, 34.787238)"
5675,הלב הרחב,אחסנת מזון למסעדה בתיק 3025.,מזון,רבי עקיבא 11 ,"אחסנת מזון למסעדה בתיק 3025.,","(32.070102, 34.769285)"
5676, קפה ארומה,"בית אוכל  להכנה והגשת כריכים ,סלטים מירקות טריים הגשת תה וקפה, הגשת דברי מאפה מבצק מוכן ומוקפא, הגשת סלטים וכריכים בתוספת עוף מעובד (מאמא עוף).",מזון,אינשטיין 40 ,"בית אוכל  להכנה והגשת כריכים ,סלטים מירקות טריים הגשת תה וקפה, הגשת דברי מאפה מבצק מוכן ומוקפא, הגשת סלטים וכריכים בתוספת עוף מעובד (מאמא עוף).,","(32.11215, 34.79577842288437)"
5677,בית שלום,מסעדה פנימית - בית שלום,מזון,"שי""ר 2 ","מסעדה פנימית - בית שלום,","(32.08621, 34.773811)"
5678,טאבון רמת החייל,"בית אוכל להכנת והגשת כריכים, טוסטים, סלטים והגשת תה וקפה.",מזון,הברזל 31 ,"בית אוכל להכנת והגשת כריכים, טוסטים, סלטים והגשת תה וקפה.,הכנת בצקים ממולאים ואפייה במקום.,","(32.110287, 34.841116)"
5679,גוגא,"בית אוכל אחר להכנה והגשת כריכים, סלטים מירקות טריים, חביתות ומרקים מירקות, תה וקפה.לרבות צריכת משקאות משכרים במקום.",מזון,צייטלין 1 ,"בית אוכל אחר להכנה והגשת כריכים, סלטים מירקות טריים, חביתות ומרקים מירקות, תה וקפה.לרבות צריכת משקאות משכרים במקום.,אפיית לחמניות מבצק מוכן ומוקפא ממקור מאושר כחוק לצרכי מכירה במקום.,","(32.079598, 34.781549)"
5680,בורגרס בר,מסעדה ( ללא דגים)+ אפיה מבצק מוכן ומוקפא. ההגשה בכלים חד פעמיים- לרבות צריכת משקאות משכרים במקום,מזון,בגין מנחם 132 ,"מסעדה ( ללא דגים)+ אפיה מבצק מוכן ומוקפא. ההגשה בכלים חד פעמיים- לרבות צריכת משקאות משכרים במקום,","(32.9606, 35.5132328)"
5681,סופר פארם (ישראל),בית מרקחת .,"בריאות, רוקחות, קוסמטיקה",רוזן פנחס 72 ,"בית מרקחת .,","(31.2618198, 34.7645571)"
5682,דולסי בכיכר,"מכירת מצרכי מזון באריזות סגורות, מכירת כריכים מוכנים ממקור מאושר בחוק מכירת משקאות שלא לצריכה במקום, מכירת שלגונים וממתקים.",מזון,אבן גבירול 66 ,"מכירת מצרכי מזון באריזות סגורות, מכירת כריכים מוכנים ממקור מאושר בחוק מכירת משקאות שלא לצריכה במקום, מכירת שלגונים וממתקים.,","(32.079887, 34.781479)"
5683,נישנוש,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות
",מזון,רוזן פנחס 72 ,"קיוסק-מכירת ממתקים, משקאות קלים ללא אלכהול, שלגונים ודברי מאפה באריזות סגורות
,","(31.2618198, 34.7645571)"
5684,ווילד בייקהאוס,"4.6 ו - מזון ומרכיביו לרבות משקאות וחומרי גלם-ייצורו,עיבודו, אריזתו  מחומרי גלם מן החי ביכולת ייצור שאינה עולה על 5 טון ליום.ייצורו,עיבודו, אריזתו מחומרי גלם מן הצומח ביכולת יצור שאינה עולה על 50 טון",מזון,יד חרוצים 14 ,"4.6 ו - מזון ומרכיביו לרבות משקאות וחומרי גלם-ייצורו,עיבודו, אריזתו  מחומרי גלם מן החי ביכולת ייצור שאינה עולה על 5 טון ליום.ייצורו,עיבודו, אריזתו מחומרי גלם מן הצומח ביכולת יצור שאינה עולה על 50 טון ליום(מאפ,4.6 ג - מזון ומרכיביו לרבות משקאות וחומרי גלם - איחסונו
,4.2ב - בית אוכל לאפייה/ייצור מזון לצריכה במקום הכנתו.,","(31.7525317, 35.2163861)"
5685,רי באר,הכנה ומכירת מיצים טבעיים ומכירת יוגורט מתערובת מוכנה ומפוסטרת ההגשה בכלים חד פעמיים.,מזון,בגין מנחם 132 ,"הכנה ומכירת מיצים טבעיים ומכירת יוגורט מתערובת מוכנה ומפוסטרת ההגשה בכלים חד פעמיים.,","(32.9606, 35.5132328)"
5686,מספרת חן,מספרה.,"בריאות, רוקחות, קוסמטיקה",שלמה 133 ,"מספרה.,","(32.054743, 34.776714)"
5687,קובון מיקס בר פירט,"4.2ב - מזנון, בית אוכל אחר, ללא הגשת משקאות משכרים לצריכה במקום
",מזון,נוה שאנן 30 ,"מזנון לרבות משקאות משכרים הגשתם לצורך צריכה במקום ההגשה,","(31.7719408, 35.2009251)"
5688,מאי קיוסק,"קיוסק - מכירת משקאות קלים, שלגונים וממתקים.ומכירת כריכים ללא הכנה במקום.",מזון,הברזל 2 ,"קיוסק - מכירת משקאות קלים, שלגונים וממתקים.ומכירת כריכים ללא הכנה במקום.,","(32.106351, 34.834418)"
5689,שניה לשבת,מכולת.,מזון,הברזל 24 ,"מכולת.,","(32.1089801, 34.8401937)"
5690,נקודת טבע,"4.7 ב - חנות טבע - מכירת ויטמינים, מינרלים, צמחי מרפא ואוכל אורגני.",מזון,אחימאיר אבא 25 ,"בית טבע - מכירת מוצרי מזון, חלב ומוצריו, ביצים, לחם ומוצריו ויטמינים ומינרליים, צמחי מרפא.,","(32.4387555, 34.9250627)"
5691,קלמטה,מסעדה כולל דגים (ללא אפיה במקום).לרבות צריכת משקאות משרים במקום,מזון,קדומים 10 ,"מסעדה כולל דגים (ללא אפיה במקום).לרבות צריכת משקאות משרים במקום,","(32.1815709, 34.9351127)"
5693,הובלת בשר בקירור,הובלת בשר ומוצריו יסוזו מספר 5015410 שנת 2001 צבע כסף,מזון,ישכון 36 ,"הובלת בשר ומוצריו יסוזו מספר 5015410 שנת 2001 צבע כסף,","(32.068574, 34.768182)"
5694,קפה לנדוור,מסעדת דגים מעובדים ונקיים ממקור מאושר בחוק+ אפיה מבצק מוכן ומוקפא ממקור מאושר בחוק + קינוחים מוכנים הכנה והגשת מיצים טבעיים - לרבות צריכת משקאות משכרים במקום,מזון,אינשטיין 40 ,"מסעדת דגים מעובדים ונקיים ממקור מאושר בחוק+ אפיה מבצק מוכן ומוקפא ממקור מאושר בחוק + קינוחים מוכנים הכנה והגשת מיצים טבעיים - לרבות צריכת משקאות משכרים במקום,","(32.11215, 34.79577842288437)"
5696,אוקטובר,בית אוכל אחר להכנה והגשת כריכים סלטים מירקות טריים והגשת דברי מאפה מוכנים 42 מקומות ישיבה,מזון,אחד העם 60 ,"בית אוכל אחר להכנה והגשת כריכים סלטים מירקות טריים והגשת דברי מאפה מוכנים 42 מקומות ישיבה,משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,","(32.0647627, 34.7748698)"
5697,הובלה בקירור-,"הובלת בשר ,עופות ,דגים קפואים וסלטים  ברכב מס' 7535034 איסוזו צבע לבן שנה 2016 .",מזון,בן יהודה 64 ,"הובלת בשר ,עופות ,דגים קפואים וסלטים  ברכב מס' 7535034 איסוזו צבע לבן שנה 2016 .,","(32.079327, 34.769586)"
5698,"קרדיטל הספקת מזון בע""מ","הובלת בשר, עופות ודגים קפואים ברכב מס': 6184550 מסוג: מרצדס.",מזון,בן יהודה 64 ,"הובלת בשר, עופות ודגים קפואים ברכב מס': 6184550 מסוג: מרצדס.,","(32.079327, 34.769586)"
5699,הובלה,הובלה בקירור של בשר עופות דגים וסלטים רכב מס' 502-20-701 מסוג מרצדס צבע לבן,מזון,בן יהודה 64 ,"הובלה בקירור של בשר עופות דגים וסלטים רכב מס' 502-20-701 מסוג מרצדס צבע לבן,","(32.079327, 34.769586)"
5700,אואזיס,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים מסלטים מוכנים לרבות צריכת משקאות משכרים במקום",מזון,נחל הבשור 3 ,"בית אוכל להכנה והגשת תה וקפה, הכנה ומכירת כריכים מסלטים מוכנים לרבות צריכת משקאות משכרים במקום,","(32.039182, 34.756926)"
5701,קטצוץ,מספרה.,"בריאות, רוקחות, קוסמטיקה",ברזאני משה 4 ,"מספרה.,","(31.745146, 35.2391444)"
5702,פיצה נטו,"מסעדה להכנה ומכירת פיצה (מבצק מוכן וקפוא )פסטות וסלטים והגשת תה וקפה- לרבות מכירת משקאות משכרים במקום+ משלוחי פיצה ושתיה קלה ע""י קטנועים ( עד 50 מנות ליום).",מזון,רוזן פנחס 72 ,"בית אוכל אחר להכנה והגשת פיצה , פסטות , סלטים מירקות טריים, ג'חנון, מאפים , טוסטים , קינוחים וגלידות , הכנת תה וקפה.,","(31.2618198, 34.7645571)"
5703,"אוליברי בע""מ","4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
",מזון,אבן גבירול 137 ,"מסעדה (כולל דגים מפולטים ממוקר מאושר) עם הכנת בצק לפיצה- הבצק לצרכי העסק בלבד באריזות 1 ק""ג מקמח מנופה- לרבות צריכת משקאות משכרים במקום+ משלוחים ע""י קטנועים 50 מנות - עד 3 קטנועים בלבד.,","(32.0892306, 34.7823884)"
5704,כוכב הפרי שדה אברהם,מרכול למכירת פירות וירקות.,מזון,הקשת 3 ,"מכירת פירות וירקות.,","(32.04177, 34.774678)"
5705,אילנ'ס,"בית אוכל להכנת והגשת כריכים סלטים אפיית דברי מאפה מבצק מוכן וקפוא הכנת חביתות גלידה אמריקאית מתערובת מוכנה ממקור ומאושר כחוק הגשת תה וקפה,",מזון,2184 6 ,"בית אוכל להכנת והגשת כריכים סלטים אפיית דברי מאפה מבצק מוכן וקפוא הכנת חביתות גלידה אמריקאית מתערובת מוכנה ממקור ומאושר כחוק הגשת תה וקפה,,","(None, None)"
5706,שטראוס קפה בי וי,"4.7 ב - מכירה בעגלה, בתוך מבנה קבע, של שתיה חמה בכוסות חד פעמיים, שתייה קלה, ממתקים, כריכים ועוגות מוכנים וארוזים מראש ממקור מאושר
",מזון,על פרשת דרכים 10 ,"מכירה בדוכן, בתוך מבנה קבע, של שתיה חמה בכוסות חד פעמיים, שתייה   קלה, כריכים ועוגות מוכנים וארוזים מראש ממקור מאושר ומכ' ממתקים. (3 עגלות).,","(32.0832016, 34.7962419)"
5707,"טיב טעם רשתות בע""מ",4.7 ב - סופרמרקט (מכלת + מכירת מצרכי מזון קפואים).,מזון,רוזן פנחס 72 ,"סופרמרקט (מכולת+מכירת מוצרי מזון קפואים,מכ' פירות וירקות טריים , מזון לבעלי חיים, חומרי ניקוי.,אטליז-מכירת בשר (בקר, צאן, חזיר) שאינו קפוא.,מכירת מזון לבעלי חיים.,","(31.2618198, 34.7645571)"
5708,"פז חברת נפט בע""מ","תחנת דלק - פז , (נפח דלק  60,000 ליטר נפח סולר  20,000 ליטר ).",דלק ואנרגיה,דבורה הנביאה 115 ,"תחנת דלק - פז , (נפח דלק  60,000 ליטר נפח סולר  20,000 ליטר ).,","(32.113896, 34.841962)"
5709,יין ועוד,מכירת שוקולד.,מזון,רוזן פנחס 72 ,"מכירת שוקולד.,מכירת מצרך משקה  שלא לצריכה במקום.,","(31.2618198, 34.7645571)"
5710,חלום של פעם,"מעדניה:מכירת גבינות,סלטים,נקניקים,דגים מעושנים,חמוצים             במשקל,שימורים, מכירת משקאות (ללא צריכה במקום) מכירת בשר קפוא דגים קפואים פסטות קפואותתבשילים קרים,עוגות מוכנות באריזות סגורות.",מזון,אחימאיר אבא 15 ,"מעדניה:מכירת גבינות,סלטים,נקניקים,דגים מעושנים,חמוצים             במשקל,שימורים, מכירת משקאות (ללא צריכה במקום) מכירת בשר קפוא דגים קפואים פסטות קפואותתבשילים קרים,עוגות מוכנות באריזות סגורות.,","(32.4387555, 34.9250627)"
5711,דמאטק,"ייצור מוצרי מעקב אלקטרונים (ייצור בקומה 5, משרדים בקומה 5 ו-6).","תעשיה, כימיה, מחצב",הברזל 2 ,"ייצור מוצרי מעקב אלקטרונים (ייצור בקומה 5, משרדים בקומה 5 ו-6).,אחסנת מוצרי מעקב אלקטרונים (קומת מרתף 1-).,","(32.106351, 34.834418)"
5712,"מרכז פיס קהילתי לב ת""א",מכון כושר - באולם ספורט מרכז פיס קהילתי לב תל אביב.,עינוג ציבורי כללי,"מזא""ה 11 ","מכון כושר - באולם ספורט מרכז פיס קהילתי לב תל אביב.,","(32.067372, 34.773033)"
5713,חניון מגדל אלרוב,"חניון תת קרקעי ששטחו 9,892 מ""ר ל-281 כלי רכב.(מהם 7 לנכים )",רכב ותחבורה,רוטשילד 46 ,"חניון תת קרקעי ששטחו 9,892 מ""ר ל-281 כלי רכב.(מהם 7 לנכים ),","(31.9642818, 34.8015605)"
5714,טבק בעליה,מכירת מוצרי טבק ומתנות,מסחר ושונות,המלך ג'ורג' 45 ,"מכירת מוצרי טבק ומתנות,","(31.7774637, 35.2162783)"
